start_eng,end_eng,start_canto,end_canto,line,color
Whampoa,Ho Man Tin,黃埔,何文田,Kwun Tong,#1C934A
Ho Man Tin,Yau Ma Tei,何文田,油麻地,Kwun Tong,#1C934A
Yau Ma Tei,Mong Kok,油麻地,旺角,Kwun Tong,#1C934A
Mong Kok,Prince Edward,旺角,太子,Kwun Tong,#1C934A
Prince Edward,Shek Kip Mei,太子,石硤尾,Kwun Tong,#1C934A
Shek Kip Mei,Kowloon Tong,石硤尾,九龍塘,Kwun Tong,#1C934A
Kowloon Tong,Lok Fu,九龍塘,樂富,Kwun Tong,#1C934A
Lok Fu,Wong Tai Sin,樂富,黃大仙,Kwun Tong,#1C934A
Wong Tai Sin,Diamond Hill,黃大仙,鑽石山,Kwun Tong,#1C934A
Diamond Hill,Choi Hung,鑽石山,彩虹,Kwun Tong,#1C934A
Choi Hung,Kowloon Bay,彩虹,九龍灣,Kwun Tong,#1C934A
Kowloon Bay,Ngau Tau Kok,九龍灣,牛頭角,Kwun Tong,#1C934A
Ngau Tau Kok,Kwun Tong,牛頭角,觀塘,Kwun Tong,#1C934A
Kwun Tong,Lam Tin,觀塘,藍田,Kwun Tong,#1C934A
Lam Tin,Yau Tong,藍田,油塘,Kwun Tong,#1C934A
Yau Tong,Tiu Keng Leng,油塘,調景嶺,Kwun Tong,#1C934A
Tsuen Wan,Tai Wo Hau,荃灣,大窩口,Tsuen Wan,#ED1C24
Tai Wo Hau,Kwai Hing,大窩口,葵興,Tsuen Wan,#ED1C24
Kwai Hing,Kwai Fong,葵興,葵芳,Tsuen Wan,#ED1C24
Kwai Fong,Lai King,葵芳,荔景,Tsuen Wan,#ED1C24
Lai King,Mei Foo,荔景,美孚,Tsuen Wan,#ED1C24
Mei Foo,Lai Chi Kok,美孚,荔枝角,Tsuen Wan,#ED1C24
Lai Chi Kok,Cheung Sha Wan,荔枝角,長沙灣,Tsuen Wan,#ED1C24
Cheung Sha Wan,Sham Shui Po,長沙灣,深水埗,Tsuen Wan,#ED1C24
Sham Shui Po,Prince Edward,深水埗,太子,Tsuen Wan,#ED1C24
Prince Edward,Mong Kok,太子,旺角,Tsuen Wan,#ED1C24
Mong Kok,Yau Ma Tei,旺角,油麻地,Tsuen Wan,#ED1C24
Yau Ma Tei,Jordan,油麻地,佐敦,Tsuen Wan,#ED1C24
Jordan,Tsim Sha Tsui,佐敦,尖沙咀,Tsuen Wan,#ED1C24
Tsim Sha Tsui,Admiralty,尖沙咀,金鐘,Tsuen Wan,#ED1C24
Admiralty,Central,金鐘,中環,Tsuen Wan,#ED1C24
Kennedy Town,HKU,堅尼地城,香港大學,Island,#0079C2
HKU,Sai Ying Pun,香港大學,西營盤,Island,#0079C2
Sai Ying Pun,Sheung Wan,西營盤,上環,Island,#0079C2
Sheung Wan,Central,上環,中環,Island,#0079C2
Central,Admiralty,中環,金鐘,Island,#0079C2
Admiralty,Wan Chai,金鐘,灣仔,Island,#0079C2
Wan Chai,Causeway Bay,灣仔,銅鑼灣,Island,#0079C2
Causeway Bay,Tin Hau,銅鑼灣,天后,Island,#0079C2
Tin Hau,Fortress Hill,天后,炮台山,Island,#0079C2
Fortress Hill,North Point,炮台山,北角,Island,#0079C2
North Point,Quarry Bay,北角,鰂魚涌,Island,#0079C2
Quarry Bay,Tai Koo,鰂魚涌,太古,Island,#0079C2
Tai Koo,Sai Wan Ho,太古,西灣河,Island,#0079C2
Sai Wan Ho,Shau Kei Wan,西灣河,筲箕灣,Island,#0079C2
Shau Kei Wan,Heng Fa Chuen,筲箕灣,杏花邨,Island,#0079C2
Heng Fa Chuen,Chai Wan,杏花邨,柴灣,Island,#0079C2
South Horizons,Lei Tung,海怡半島,利東,South Island,#B2D235
Lei Tung,Wong Chuk Hang,利東,黃竹坑,South Island,#B2D235
Wong Chuk Hang,Ocean Park,黃竹坑,海洋公園,South Island,#B2D235
Ocean Park,Admiralty,海洋公園,金鐘,South Island,#B2D235
North Point,Quarry Bay,北角,鰂魚涌,Tseung Kwan O,#9900AA
Quarry Bay,Yau Tong,鰂魚涌,油塘,Tseung Kwan O,#9900AA
Yau Tong,Tiu Keng Leng,油塘,調景嶺,Tseung Kwan O,#9900AA
Tiu Keng Leng,Tseung Kwan O,調景嶺,將軍澳,Tseung Kwan O,#9900AA
Tseung Kwan O,Hang Hau,將軍澳,坑口,Tseung Kwan O,#9900AA
Hang Hau,Po Lam,坑口,寶琳,Tseung Kwan O,#9900AA
Tseung Kwan O,LOHAS Park,將軍澳,康城,Tseung Kwan O,#9900AA
Hong Kong,Kowloon,香港,九龍,Tung Chung,#F57D14
Kowloon,Olympic,九龍,奧運,Tung Chung,#F57D14
Olympic,Nam Cheong,奧運,南昌,Tung Chung,#F57D14
Nam Cheong,Lai King,南昌,荔景,Tung Chung,#F57D14
Lai King,Tsing Yi,荔景,青衣,Tung Chung,#F57D14
Tsing Yi,Sunny Bay,青衣,欣澳,Tung Chung,#F57D14
Sunny Bay,Tung Chung,欣澳,東涌,Tung Chung,#F57D14
Sunny Bay,Disneyland Resort,欣澳,迪士尼,Disneyland Resort,#F86CAE
Admiralty,Exhibition Centre,金鐘,會展,East Rail,#00A1E9
Exhibition Centre,Hung Hom,會展,紅磡,East Rail,#00A1E9
Hung Hom,Mong Kok East,紅磡,旺角東,East Rail,#00A1E9
Mong Kok East,Kowloon Tong,旺角東,九龍塘,East Rail,#00A1E9
Kowloon Tong,Tai Wai,九龍塘,大圍,East Rail,#00A1E9
Tai Wai,Sha Tin,大圍,沙田,East Rail,#00A1E9
Sha Tin,Fo Tan,沙田,火炭,East Rail,#00A1E9
Fo Tan,Racecourse,火炭,馬場,East Rail,#00A1E9
Racecourse,University,馬場,大學,East Rail,#00A1E9
University,Tai Po Market,大學,大埔墟,East Rail,#00A1E9
Tai Po Market,Tai Wo,大埔墟,太和,East Rail,#00A1E9
Tai Wo,Fanling,太和,粉嶺,East Rail,#00A1E9
Fanling,Sheung Shui,粉嶺,上水,East Rail,#00A1E9
Sheung Shui,Lo Wu,上水,羅湖,East Rail,#00A1E9
Sheung Shui,Lok Ma Chau,上水,落馬洲,East Rail,#00A1E9
Tuen Mun,Siu Hong,屯門,兆康,Tuen Ma,#AD6738
Siu Hong,Tin Shui Wai,兆康,天水圍,Tuen Ma,#AD6738
Tin Shui Wai,Long Ping,天水圍,朗屏,Tuen Ma,#AD6738
Long Ping,Yuen Long,朗屏,元朗,Tuen Ma,#AD6738
Yuen Long,Kam Sheung Road,元朗,錦上路,Tuen Ma,#AD6738
